binary,size,compiler,static,domain
xfsettingsd,322024,Unk,FALSE,Network
xfwm4,412168,Unk,FALSE,System
xfwm4-settings,113024,Unk,FALSE,System
xfwm4-workspace-settings,145856,Unk,FALSE,System
xgc,81016,Unk,FALSE,System
xhydra,63528,Unk,FALSE,Network
xkbcomp,217960,Unk,FALSE,System
xkbprint,92872,Unk,FALSE,System
xman,79928,Unk,FALSE,System
xmllint,72520,Unk,FALSE,System
xprop,50224,Unk,FALSE,System
xrandr,64336,Unk,FALSE,System
xsm,98200,Unk,FALSE,System
Xtightvnc,1678464,Unk,FALSE,Network
xtightvncviewer,116912,Unk,FALSE,Network
Xvfb,2049576,Unk,FALSE,Network
xwininfo,52160,Unk,FALSE,System
xz,81192,Unk,FALSE,System
yasm,698664,gcc(GNU),TRUE,System
ytasm,694376,gcc(GNU),TRUE,System
zenity,131712,Unk,FALSE,System
zip,217312,Unk,FALSE,System
zipcloak,94640,Unk,FALSE,System
zipinfo,179208,Unk,FALSE,System
zipnote,90224,Unk,FALSE,System
zipsplit,90256,Unk,FALSE,System
zsh,882080,Unk,FALSE,System
[,60224,Unk,FALSE,System
