"filename","version","findings_count"
"lsof","version_0.4",282
"lsof","version_0.5",207
"lsof","version_0.6",263
"lspci","version_0.4",96
"lspci","version_0.5",7
"lspci","version_0.6",7
"lstopo","version_0.4",294
"lstopo","version_0.5",47
"lstopo","version_0.6",57
"lstopo.no.graphics","version_0.4",260
"lstopo.no.graphics","version_0.5",47
"lstopo.no.graphics","version_0.6",58
"lsusb","version_0.4",68
"lsusb","version_0.5",0
"lsusb","version_0.6",0
"luit","version_0.4",31
"luit","version_0.5",9
"luit","version_0.6",8
"make","version_0.4",0
"make","version_0.5",0
"make","version_0.6",0
"man","version_0.4",108
"man","version_0.5",61
"man","version_0.6",66
"mandb","version_0.4",100
"mandb","version_0.5",50
"mandb","version_0.6",61
"mariadb","version_0.4",1522
"mariadb","version_0.5",0
"mariadb","version_0.6",0
"mariadb.admin","version_0.4",1718
"mariadb.admin","version_0.5",753
"mariadb.admin","version_0.6",862
"mariadb.binlog","version_0.4",0
"mariadb.binlog","version_0.5",0
"mariadb.binlog","version_0.6",0
"mariadb.check","version_0.4",1699
"mariadb.check","version_0.5",737
"mariadb.check","version_0.6",854
"mariadb.conv","version_0.4",1377
"mariadb.conv","version_0.5",286
"mariadb.conv","version_0.6",321
"mariadb.dump","version_0.4",1897
"mariadb.dump","version_0.5",770
"mariadb.dump","version_0.6",894
"mariadb.import","version_0.4",1719
"mariadb.import","version_0.5",704
"mariadb.import","version_0.6",762
"mariadb.plugin","version_0.4",1090
"mariadb.plugin","version_0.5",252
"mariadb.plugin","version_0.6",270
"mariadb.show","version_0.4",1718
"mariadb.show","version_0.5",745
"mariadb.show","version_0.6",855
"mariadb.slap","version_0.4",1769
"mariadb.slap","version_0.5",746
"mariadb.slap","version_0.6",888
"mariadb.tzinfo.to.sql","version_0.4",1080
"mariadb.tzinfo.to.sql","version_0.5",247
"mariadb.tzinfo.to.sql","version_0.6",264
"mariadb.upgrade","version_0.4",0
"mariadb.upgrade","version_0.5",0
"mariadb.upgrade","version_0.6",0
"mariadb.waitpid","version_0.4",1070
"mariadb.waitpid","version_0.5",241
"mariadb.waitpid","version_0.6",259
"mariadbd.safe.helper","version_0.4",1004
"mariadbd.safe.helper","version_0.5",215
"mariadbd.safe.helper","version_0.6",222
"mate.calc","version_0.4",202
"mate.calc","version_0.5",0
"mate.calc","version_0.6",0
"mate.calc.cmd","version_0.4",0
"mate.calc.cmd","version_0.5",0
"mate.calc.cmd","version_0.6",0
"mawk","version_0.4",212
"mawk","version_0.5",97
"mawk","version_0.6",109
"md5deep","version_0.4",584
"md5deep","version_0.5",0
"md5deep","version_0.6",0
"mdsearch","version_0.4",0
"mdsearch","version_0.5",0
"mdsearch","version_0.6",0
"medusa","version_0.4",132
"medusa","version_0.5",140
