"","version_0.4","version_0.5","version_0.6","filename"
"strings",2477,0,0,"strings"
"stty",77,46,38,"stty"
"stunnel4",0,0,0,"stunnel4"
"su",78,40,41,"su"
"sudo",180,36,45,"sudo"
"sudoreplay",138,0,0,"sudoreplay"
"sunrpcfuzz",352,114,121,"sunrpcfuzz"
"svn",262,50,55,"svn"
"svnadmin",11,2,2,"svnadmin"
"svnbench",27,4,2,"svnbench"
"svnlook",22,4,6,"svnlook"
"svnrdump",40,6,3,"svnrdump"
"svnserve",26,9,16,"svnserve"
"sx",38,12,8,"sx"
"systemctl",139,135,97,"systemctl"
"systemd-analyze",2845,620,349,"systemd-analyze"
"systemd-hwdb",125,78,96,"systemd-hwdb"
"systemd-mount",1,7,5,"systemd-mount"
"systemd-run",2,5,4,"systemd-run"
"systemd-sysusers",55,36,36,"systemd-sysusers"
"systemd-tmpfiles",21,8,17,"systemd-tmpfiles"
"sz",38,12,8,"sz"
"tac",473,127,136,"tac"
"tail",115,26,30,"tail"
"tapestat",30,38,35,"tapestat"
"tar",905,443,453,"tar"
"tbl",406,0,0,"tbl"
"tcpbridge",2378,0,0,"tcpbridge"
"tcpcapinfo",1106,0,0,"tcpcapinfo"
"tcpdump",820,24,192,"tcpdump"
"tcpliveplay",1180,0,0,"tcpliveplay"
"tcpprep",1514,0,0,"tcpprep"
"tcpreplay",1559,0,0,"tcpreplay"
"tcpreplay-edit",2625,0,0,"tcpreplay-edit"
"tcprewrite",2226,0,0,"tcprewrite"
"telnet.netkit",106,111,85,"telnet.netkit"
"test",103,30,33,"test"
"testdisk",1392,179,270,"testdisk"
"text2pcap",69,26,23,"text2pcap"
"thunar",0,0,0,"thunar"
"tic",34,0,0,"tic"
"tigerdeep",584,0,0,"tigerdeep"
"tmux",2102,0,0,"tmux"
"top",0,0,0,"top"
"touch",98,70,75,"touch"
"tpmc",29,32,27,"tpmc"
"tr",47,21,14,"tr"
"traceroute.db",70,43,29,"traceroute.db"
"troff",834,243,0,"troff"
"trust",160,66,115,"trust"
"tshark",414,0,0,"tshark"
"tsk_comparedir",0,0,0,"tsk_comparedir"
"tsk_gettimes",0,0,0,"tsk_gettimes"
"tsk_loaddb",0,0,0,"tsk_loaddb"
"tsk_recover",0,0,0,"tsk_recover"
"tsort",171,16,12,"tsort"
"udevadm",633,364,461,"udevadm"
"udisksctl",11,16,12,"udisksctl"
"umax_pp",76,124,130,"umax_pp"
"uniq",30,21,18,"uniq"
"unix2dos",88,5,7,"unix2dos"
"unrar-nonfree",1479,266,200,"unrar-nonfree"
"unsquashfs",98,69,54,"unsquashfs"
"unzip",163,97,112,"unzip"
"unzipsfx",87,54,74,"unzipsfx"
"update-alternatives",50,98,117,"update-alternatives"
"update-mime-database",51,16,21,"update-mime-database"
"upx-ucl",2735,258,257,"upx-ucl"
"VBoxClient",0,0,0,"VBoxClient"
"vdir",233,158,123,"vdir"
"vim",0,0,0,"vim"
"vim.basic",0,0,0,"vim.basic"
"vim.tiny",2224,162,0,"vim.tiny"
"voiphopper",147,189,180,"voiphopper"
"vsyasm",1005,0,0,"vsyasm"
"wash",531,267,333,"wash"
"wdctl",35,26,27,"wdctl"
"webfuzz",340,113,118,"webfuzz"
"wg",854,18,60,"wg"
"wget",1079,426,441,"wget"
"whatis",73,30,38,"whatis"
"whirlpooldeep",584,0,0,"whirlpooldeep"
"who",72,41,47,"who"
"whois",106,99,98,"whois"
"winexe",2,4,5,"winexe"
"wpa_passphrase",74,61,61,"wpa_passphrase"
"x11perf",108,0,0,"x11perf"
